Company,Market cap($B),Share Price,Pct_change,Trend,Country
DBS Group,79.07,27.8,1.42,down,Singapore
Canadian Natural Resources,78.5,36.69,3.26,up,Canada
General Dynamics,78.3,285.42,0.54,up,USA
AXA,78.17,34.71,1.06,down,France
Canadian Pacific Railway,78.05,83.54,0.24,up,Canada
National Australia Bank,78.04,25.22,0.35,up,Australia
Ferrari,77.85,428.56,1.52,down,Italy
Chipotle Mexican Grill,77.68,56.61,1.84,down,USA
Canadian National Railway,77.46,121.58,1.13,up,Canada
Tokio Marine,77.43,39.49,1.21,up,Japan
Trane Technologies,77.18,341.0,0.82,down,Ireland
China Telecom,76.88,0.64,1.02,up,China
BNP Paribas,76.77,67.89,0.73,down,France
Equinix,76.36,804.66,0.02,down,USA
AIA,76.28,6.87,3.25,down,Hong Kong
Enbridge,76.25,35.79,0.86,down,Canada
EOG Resources,76.23,132.65,2.87,up,USA
Zurich Insurance Group,76.1,528.54,1.48,down,Switzerland
Glencore,75.9,6.15,0.0,up,Switzerland
Bank Central Asia,75.83,0.62,1.0,down,Indonesia
ACWA POWER Company,75.64,103.27,3.53,up,S. Arabia
Hindustan Unilever,75.61,32.18,2.6,up,India
Foxconn Industrial Internet,75.08,3.78,1.85,up,China
FedEx,75.05,305.02,2.01,up,USA
Santander,75.03,4.79,1.44,down,Spain
Equinor,75.02,27.09,0.33,down,Norway
McKesson,75.0,578.26,0.28,up,USA
Enel,74.28,7.31,1.21,down,Italy
Mercedes-Benz,73.96,69.14,1.61,down,Germany
Thomson Reuters,73.89,164.02,0.63,down,Canada
CVS Health,73.65,58.67,0.56,down,USA
Illinois Tool Works,73.62,246.73,0.33,up,USA
Itōchū Shōji,73.15,50.84,1.04,up,Japan
Diageo,72.85,129.22,1.85,down,UK
Cintas,72.53,714.85,0.96,down,USA
Daiichi Sankyō,72.47,37.96,0.43,up,Japan
Freeport-McMoRan,72.42,50.42,1.39,down,USA
Merck KGaA,72.32,166.36,0.56,up,Germany
NXP Semiconductors,72.29,282.77,0.92,up,Netherlands
British American Tobacco,71.7,32.2,1.26,down,UK
Brookfield Corporation,71.54,46.09,0.17,up,Canada
Intesa Sanpaolo,71.29,3.95,0.4,up,Italy
Porsche,71.02,77.97,5.02,down,Germany
CME Group,70.93,197.01,1.85,up,USA
Mitsui Bussan,70.9,23.83,1.45,up,Japan
Marriott International,70.45,246.67,1.6,up,USA
Parker-Hannifin,70.02,544.74,1.27,up,USA
Target,69.99,151.3,1.01,down,USA
Walmex,69.93,3.85,0.0,up,Mexico
Apollo Global Management,69.7,122.5,1.63,up,USA
ITC,69.63,5.57,0.46,up,India
TransDigm,69.49,1242.0,0.03,down,USA
Ecolab,69.06,241.85,1.73,down,USA
Schlumberger,68.55,47.96,3.32,up,USA
Sberbank,68.38,3.27,1.45,up,Russia
Zijin Mining,68.24,2.64,2.07,up,China
Wuliangye Yibin,68.1,17.54,0.02,down,China
CSX Corporation,67.64,34.6,2.4,up,USA
PNC Financial Services,67.25,169.02,1.23,up,USA
Constellation Energy,67.1,212.88,1.96,down,USA
Emerson,66.91,116.97,2.08,up,USA
ADNOC Gas,66.86,0.87,0.0,up,UAE
Munich RE (Münchener Rück),66.8,496.35,2.02,down,Germany
Bank of Communications,66.57,1.03,0.27,down,China
U.S. Bancorp,66.08,42.35,0.59,up,USA
Westpac Banking,65.96,19.02,0.25,up,Australia
Siemens Healthineers,65.84,58.87,1.14,down,Germany
UniCredit,65.81,40.72,0.58,up,Italy
Motorola Solutions,65.77,394.39,1.08,up,USA
MediaTek,65.72,41.29,0.74,down,Taiwan
London Stock Exchange,65.64,123.56,0.49,up,UK
Postal Savings Bank of China,65.49,0.69,0.4,down,China
Vinci,65.48,114.63,0.24,down,France
Becton Dickinson,65.33,226.08,1.32,down,USA
Nintendo,65.08,55.71,1.02,down,Japan
Constellation Software,64.92,3064.0,1.03,up,Canada
Aon,64.64,297.31,0.28,down,UK
Enterprise Products,64.27,29.6,0.68,up,USA
Northrop Grumman,63.98,431.92,0.07,down,USA
Nu Holdings,63.88,13.34,0.52,down,Brazil
Palantir,63.84,28.67,2.14,up,USA
Marvell Technology Group,63.7,73.6,0.01,up,USA
Bank of Montreal,63.36,86.72,0.09,up,Canada
Republic Services,63.36,201.19,0.47,up,USA
PayPal,63.25,60.47,0.33,up,USA
Chugai Pharmaceutical,62.99,38.28,3.5,down,Japan
Welltower,62.98,105.34,1.09,up,USA
SABIC,62.43,20.81,0.65,up,S. Arabia
Midea,61.74,8.85,1.03,down,China
Workday,61.69,232.47,1.07,up,USA
Banco Bilbao Vizcaya Argentaria,61.56,10.64,0.0,up,Spain
BMW,61.39,96.74,1.2,down,Germany
O'Reilly Automotive,61.39,1042.0,0.22,up,USA
Rosneft,61.12,5.79,1.99,up,Russia
Carrier,60.69,67.36,2.06,up,USA
Volkswagen,60.49,116.32,1.39,down,Germany
NetEase,60.41,93.74,0.93,up,China
ANZ Bank,60.32,20.1,0.17,down,Australia
Itaú Unibanco,60.32,6.16,0.48,down,Brazil
Spotify,60.14,302.15,0.04,down,Sweden
Roper Technologies,59.85,559.15,0.14,up,USA
Larsen & Toubro,59.84,43.53,0.41,down,India
The Saudi National Bank,59.64,10.03,2.04,up,S. Arabia
Coinbase,59.63,242.85,11.39,up,USA
Stellantis,59.61,20.23,0.39,down,Netherlands
Phillips 66,59.38,140.07,1.03,up,USA
KDDI,59.22,28.44,0.44,down,Japan
National Grid,59.11,60.81,2.16,down,UK
Arthur J. Gallagher & Co.,59.09,270.46,0.22,down,USA
ING,59.01,18.1,0.77,down,Netherlands
Marathon Petroleum,58.73,166.71,0.76,up,USA
LG Energy Solution,58.66,250.69,3.35,down,S. Korea
Scotiabank,58.07,47.15,0.19,up,Canada
Air Products and Chemicals,57.76,259.84,0.56,down,USA
Alimentation Couche-Tard,57.05,59.63,0.09,up,Canada
3M,56.84,102.72,1.27,down,USA
Ford,56.54,14.23,1.43,up,USA
America Movil,56.25,18.15,1.09,down,Mexico
